,n_hidden,units,activation,regularizaton_type,regularizer_factor,optimizer_type,lr,dropout,train_acc,val_acc,dropout_rate,momentum
27,4,64,relu,L2,0.01,Adam,0.001,FALSE,0.292699993,0.306600004,0,0
13,8,128,relu,L2,0.01,Adam,0.0001,FALSE,0.263599992,0.268999994,0,0
5,4,64,tanh,L2,0.01,Adam,0.0001,TRUE,0.230100006,0.259200007,0.5,0.5
0,6,64,tanh,L2,0.01,SGD,0.01,FALSE,0.259200007,0.257200003,0,0
3,8,64,tanh,L2,0.01,Adam,0.001,FALSE,0.240720004,0.256700009,0,0.8
1,6,128,tanh,L2,0.01,SGD,0.001,FALSE,0.256220013,0.254000008,0,0
34,4,128,tanh,L2,0.1,SGD,0.01,TRUE,0.129240006,0.213,0.45,0
29,4,128,tanh,L1,0.01,SGD,0.0001,FALSE,0.212139994,0.212400004,0,0
33,6,64,tanh,L2,0.01,SGD,0.001,TRUE,0.143419996,0.207100004,0.2,0
22,8,64,tanh,L1,0.01,SGD,0.001,FALSE,0.18818,0.192699999,0,0.8
9,6,64,tanh,L2,0.1,Adam,0.0001,TRUE,0.108560003,0.186700001,0.35,0.8
32,4,128,relu,L2,0.01,Adam,0.01,FALSE,0.169499993,0.183899999,0,0
8,8,64,tanh,L2,0.01,Adam,0.001,TRUE,0.162640005,0.182099998,0.2,0
15,8,128,tanh,L2,0.01,Adam,0.001,TRUE,0.163939998,0.181299999,0.2,0.5
18,4,128,relu,L2,0.1,Adam,0.0001,FALSE,0.149399996,0.168400005,0,0
16,4,64,tanh,L2,0.01,SGD,0.001,TRUE,0.105360001,0.148599997,0.5,0.5
31,8,64,relu,L2,0.1,SGD,0.001,FALSE,0.140039995,0.145799994,0,0
35,4,64,tanh,L1,0.1,SGD,0.0001,TRUE,0.102739997,0.143199995,0.45,0
3,6,64,relu,L2,0.1,SGD,0.001,FALSE,0.140640005,0.141900003,0,0
11,6,64,tanh,L1,0.1,SGD,0.0001,FALSE,0.141200006,0.141100004,0,0.8
21,4,64,relu,L2,0.1,SGD,0.0001,FALSE,0.129460007,0.1294,0,0.5
14,4,128,tanh,L1,0.01,Adam,0.0001,TRUE,0.103380002,0.129299998,0.35,0.5
7,6,128,tanh,L2,0.1,SGD,0.0001,TRUE,0.102779999,0.126900002,0.2,0.5
1,4,64,relu,L1,0.01,SGD,0.0001,TRUE,0.102279998,0.124499999,0.2,0.5
23,4,64,relu,L1,0.01,SGD,0.0001,FALSE,0.125119999,0.124200001,0,0.8
2,4,128,relu,L1,0.1,SGD,0.0001,FALSE,0.115379997,0.123099998,0,0
2,4,128,relu,L1,0.01,SGD,0.0001,FALSE,0.126080006,0.121399999,0,0.8
6,4,64,relu,L1,0.1,SGD,0.001,FALSE,0.140180007,0.121299997,0,0
13,6,128,relu,L1,0.01,Adam,0.0001,TRUE,0.102940001,0.117299996,0.35,0.8
6,6,128,tanh,L1,0.1,Adam,0.0001,TRUE,0.097000003,0.114,0.35,0.8
